flow_duration,tot_fwd_pkts,tot_bwd_pkts,fwd_pkt_len_mean,bwd_pkt_len_mean,flow_byts_s,flow_pkts_s,fwd_iat_mean,bwd_iat_mean,pkt_len_std,label
1.255242,8,1,274.125,443.0,2099.993467395132,7.169932172441649,0.1793202857142857,0,56.18509973381524,normal
0.77884,6,1,257.3333333333333,410.0,2508.859329258898,8.98772533511376,0.155768,0,62.430369375874776,normal
2.318887,13,1,341.84615384615387,449.0,2110.0640091561168,6.037379139216356,0.1932405833333333,0,28.01211472610684,normal
1.966495,11,1,284.3636363636364,434.0,1811.344549566615,6.102227567321554,0.1966495,0,47.25786236760562,normal
0.998111,7,1,342.0,397.0,2796.2821770324144,8.015140600594524,0.1663518333333333,0,22.03654634919002,normal
1.998814,12,1,414.1666666666667,415.0,2694.0975998767267,6.503856787074735,0.1817103636363636,0,7.287015281716947,normal
1.078243,7,1,353.85714285714283,450.0,2714.60143956418,7.41947779860384,0.1795405,0,51.31139615134244,normal
1.170865,7,1,348.42857142857144,450.0,2467.4065754805206,6.832555418429964,0.1951441666666666,0,44.88996964801825,normal
1.601967,10,1,290.1,442.0,2086.8095285358563,6.866558424736589,0.1779963333333333,0,47.50972062345777,normal
0.791267,6,1,364.3333333333333,452.0,3333.8936161877086,8.846571384880198,0.1580534,0,33.193926171724215,normal
2.288103,13,1,312.84615384615387,435.0,1967.5687676647424,6.118605674657129,0.19067525,0,70.59817306996213,normal
0.8841,6,1,302.5,456.0,2568.7139463861554,7.917656373713381,0.1766201999999999,0,60.19695564883456,normal
1.905086,11,1,327.0,403.0,2099.6427457868044,6.298928237360413,0.1905086,0,22.72419171035328,normal
1.718939,10,1,314.8,399.0,2063.482182904688,6.399296310107572,0.1909932222222222,0,40.31549135227309,normal
2.000101,11,1,387.0,448.0,2352.38120474916,5.999697015300727,0.2000101,0,17.095117886565028,normal
1.706866,10,1,389.3,456.0,2547.9445955335686,6.444559795555128,0.1896517777777778,0,35.701471136667664,normal
2.083796,12,1,341.5,417.0,2166.718815085546,6.238614528485514,0.189436,0,35.94736454528314,normal
1.107997,7,1,291.42857142857144,408.0,2209.3922636974653,7.220236155874069,0.1846661666666666,0,42.1070065428546,normal
